No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
142,CUTTING COOLANT FOR OPTICAL GLASS PROCESSING,"FATKHUTDINOV LINAR RINATOVICH [RU] 
GIL MUTDINOV AMIR TIMIR JANOVICH [RU] 
MASAGUTOVA EHL VIRA RASHIDOVNA [RU] 
MAZITOVA ILIJA SHAMILEVNA [RU] 
NAFIKOVA RAILJA FOOTOVNA [RU] 
RYSAEV DAMIR URALOVICH [RU] 
RYSAEV URAL SHAKIROVICH [RU] 
ZAGIDULLIN RAIS NURIEVICH [RU]",OOO PROMY TORGOVAJA KOMPANIJA [RU],RU2007115979A,2007-04-26,"C10M109/00 
C10M149/10 
C10M173/02",,2008-11-10,2008-11-10,41015164
143,Verfahren zur Herstellung von hochverzweigten Polyolen auf der Basis von Glycidol,"MUELHAUPT ROLF [DE] 
SUNDER ALEXANDER [DE]",BAYER AG [DE],DE19947631A1,1998-12-22,"C07C41/03 
C07C43/13 
C08G65/28 
C08G71/04 
C08J3/24 
C08K5/06 
C08G18/48 
C08G65/22 
C08G65/26 
C08G65/28","C08G18/48 (EP) 
C08G65/22 (EP) 
C08G65/2648 (EP)",2000-06-29,2000-06-29,7892143
144,PRODUCTION OF UNSATURATED MONOMER GLYCIDOL ESTER,FUJIKAWA HISAO,DAICEL CHEM,JP2631895B2,1989-06-28,"C07C67/26 
C07C69/54 
C07C67/26 
C07C69/54",,1991-02-12,1991-02-12,15828593
145,HIGHLY SELECTIVE CATALYST FOR SYNTHESIZING GLYCIDOL,"ARASHIBA NOBUMASA 
KOGA EIJI 
NAKANISHI TAKEHISA",MITSUI TOATSU CHEMICALS,JPH0640956B2,1986-05-12,"B01J23/22 
C07D301/19 
C07B61/00 
B01J23/22 
C07B61/00 
C07D301/19",,1987-11-18,1987-11-18,14444277
146,HYPERBRANCHED POLYGLYCEROL HAVING DISULFIDE BONDS,"KIM BYEONG SU [KR] 
SON SU HYUN [KR]",UNIST ULSAN NAT INST SCIENCE & TECHNOLOGY [KR],KR101716864B1,2014-12-30,"C08G65/334 
C08G65/34 
C08G65/48 
A61K47/30","A61K47/30 (KR) 
C08G65/3342 (KR) 
C08G65/34 (KR) 
C08G65/48 (KR)",2016-07-08,2016-07-08,56503350
147,"EVALUATION METHOD OF AMOUNT OF 3-CHLORO-1,2-PROPANEDIOL-BASED COMPOUND AND GLYCIDOL-BASED COMPOUND",NAKAMURA KINUKO,HOUSE FOODS CORP,JP2013074873A,2011-09-16,C12Q1/44,,2013-04-25,2013-04-25,48478896
148,Preparation and application of sulfur-containing hyperbranched polyglycerol copolymer,"CAI TAO 
HUANG WENGANG 
HUANG YA 
LI JIALE 
LI XIUJUAN 
LI XUE","SUZHOU INSTITUE OF WUHAN UNIV 
UNIV WUHAN",CN109021229A,2018-08-06,"B01D67/00 
B01D71/78 
C08G65/28 
C08G65/334 
C08J7/04 
C08L1/12 
C08L27/16 
C08L33/20 
C08L77/00 
C08L81/06","B01D67/0006 (CN) 
B01D71/78 (CN) 
C08G65/2609 (CN) 
C08G65/3348 (CN) 
C08J7/0427 (CN) 
C08J2301/12 (CN) 
C08J2327/16 (CN) 
C08J2333/20 (CN) 
C08J2377/00 (CN) 
C08J2381/06 (CN)",2018-12-18,2018-12-18,64649722
149,Asymmetric epoxidation of allylic alcohols,SHUM WILFRED P [US],ARCO CHEM CO [US],US4764628A,1987-09-14,"C07D301/19 
C07D301/19 
C07D303/14","C07D301/19 (EP) 
C07D303/14 (EP)",1988-08-16,1988-08-16,22254446
150,INK ADDITIVE FOR LITHOGRAPHY,"KONDO TOSHIRO 
TSUBAKII YASUO",MITSUBISHI PAPER MILLS LTD,JPH0192281A,1987-10-02,"C09D11/02 
C09D11/02",,1989-04-11,1989-04-11,17208246
151,PRODUCTION OF GLYCIDYLARYLSULFONATES,"MITA RYUICHI 
OKUMA TADASHI 
OZAWA SHUJI",MITSUI TOATSU CHEMICALS,JP3061492B2,1992-12-14,"C07D303/16 
C07D301/00 
C07D301/00 
C07D303/16",,1994-06-28,1994-06-28,18262200
152,"WATER-BASE RINSING AGENT FOR TABLEWARE, CONTAINING FATTY ACID POLYGLYCERIDE",ISHITOBI MASAHIKO,MITSUBISHI CHEM CORP,JP2004285099A,2003-03-19,"C11D1/68 
C11D1/68",,2004-10-14,2004-10-14,33291039
153,Process for making HIV protease inhibitors,"ASKIN D [US] 
REIDER P [US] 
ROSSEN K [US]",MERCK & CO INC [US],CN1046715C,1993-07-16,"C07D241/04 
C07D263/52 
C07D303/36 
C07D405/06 
A61K31/42 
A61K31/423 
A61K31/44 
A61K31/495 
A61K31/496 
A61P31/12 
A61P37/04 
A61P43/00 
C07D241/04 
C07D263/52 
C07D303/36 
C07D401/06 
C07D405/06 
C07D413/06","A61P31/12 (EP) 
A61P37/04 (EP) 
A61P43/00 (EP) 
C07D241/04 (EP) 
C07D263/52 (EP) 
C07D303/36 (EP) 
C07D401/06 (EP) 
C07D405/06 (EP) 
C07D413/06 (EP)",1996-09-11,1995-01-26,22234214
154,Process for preparation of polyglyceryl ether derivatives,"NISHI TAKAFUMI 
SAITO AKIRA 
SEKI YUICHIRO 
UNO MITSURU 
YAMAMOTO GOUSHI",KAO CORP,CN102300905A,2009-01-29,C08G65/10,"C08G65/22 (EP,US) 
C08G65/2609 (EP,US) 
C08G65/2657 (EP,US) 
C07C41/03, C07C43/11, INV (US)      ",2011-12-28,2010-08-05,42395653
155,"METHOD FOR PRODUCING HYPERBRANCHED POLYESTER, METHOD FOR PRODUCING POLYURETHANE, AND POLYURETHANE","FURUKAWA MUTSUHISA [JP] 
KOJIO KEN [JP] 
MOTOKUCHO SUGURU [JP]","FURUKAWA MUTSUHISA [JP] 
KOJIO KEN [JP] 
MOTOKUCHO SUGURU [JP] 
UNIV NAGASAKI [JP]",WO2010001898A1,2008-07-04,"C08G18/42 
C08G63/00 
C08L101/16","C08G18/4291 (EP) 
C08G63/42 (EP) 
C08G83/005 (EP) 
C08G2230/00 (EP)",2010-01-07,2010-01-07,41465990
156,METHOD FOR PRODUCING (POLY)GLYCERYL ETHER,"NAGASAWA ATSUSHI [JP] 
SAITO AKIRA [JP] 
UNO MITSURU [JP]","KAO CORP [JP] 
NAGASAWA ATSUSHI [JP] 
SAITO AKIRA [JP] 
UNO MITSURU [JP]",WO2007114061A1,2006-03-31,"C07C41/03 
C07C43/13 
C08G65/28 
C11D1/66","C07C41/03 (EP) 
C08G65/22 (EP) 
C08G65/2609 (EP) 
C08G65/2648 (EP) 
C08G65/2654 (EP) 
C11D1/72 (EP) 
C11D3/2068 (EP) 
C07C41/03, C07C43/11, INV (EP)       
C07C41/03, C07C43/13, INV (EP)      ",2007-10-11,2007-10-11,38563330
157,"Process for the preparation of nonionic surface-active agents from glycerol monochlorohydrin, products obtained and a composition in which they are present","SEBAG HENRI [FR] 
VANLERBERGHE GUY [FR]",OREAL [FR],US4677232A,1984-12-17,"C07C41/01 
A61K8/00 
A61K8/06 
A61K8/30 
A61Q5/02 
B01F17/42 
C07C41/00 
C07C41/03 
C07C41/16 
C07C41/42 
C07C43/13 
C07C67/00 
C08G65/34 
C11D1/68","C07C41/16 (EP) 
C07C41/42 (EP) 
C07C41/16, C07C43/135, INV (EP)       
C07C41/42, C07C43/135, INV (EP)      ",1987-06-30,1986-06-17,9310668
158,Process for making HIV protease inhibitors,"ASKIN DAVID [US] 
ENG KAN K [US] 
VOLANTE RALPH P [US]",MERCK & CO INC [US],US5463067A,1993-07-16,"C07D407/02 
C07F9/02 
C07D263/52 
C07D413/06","C07D263/52 (EP) 
C07D413/06 (EP)",1995-10-31,1995-02-28,22237824
159,"COLORANTS AND INTERMEDIATES THEREFOR HAVING BRANCHED POLY(OXYALKYLENE) MOIETIES, AND THEIR MANUFACTURE","HINES JOHN B [US] 
KLUGER EDWARD W [US] 
MOODY DAVID J [US]",MILLIKEN RES CORP [US],CA2050019A1,1991-08-27,"C09B11/04 
C09B17/00 
C09B23/00 
C09B29/00 
C09B35/00 
C09B53/02 
C09B55/00 
D06P3/00 
C08G65/26 
C08G65/333 
C08G65/334 
C09B69/00 
D06P5/13","C08G65/2627 (EP) 
C08G65/333 (EP) 
C08G65/334 (EP) 
C09B69/00 (EP) 
D06P5/138 (EP)",1993-02-28,1993-02-28,27156490
160,PRION INACTIVATING AGENT,"IDE TAKAHITO 
KAJIWARA TSUNEO 
MATSUO TAKAHITO 
SHIRAFUJI TAKUMI",NIHON PHARMACEUTICAL CO LTD,JP2001000512A,1999-06-23,"A61L2/18 
C11D7/26 
A61L2/18 
C11D7/26 
A01N43/20 
C11D7/26",,2001-01-09,2001-01-09,16031787
161,Process for making HIV protease inhibitors,"ASKIN D [US] 
ENG K K [US] 
VOLANTE R P [US]",MERCK & CO INC [US],CN1066723C,1993-07-16,"C07D263/52 
C07D241/04 
C07D241/14 
C07D263/52 
C07D413/06","C07D263/52 (EP) 
C07D413/06 (EP)",1996-09-04,1995-01-26,26787287
162,HYPERBRANCHED POLYGLYCEROL HAVING DISULFIDE BONDS,"KIM BYEONG SU [KR] 
SON SU HYUN [KR]",UNIST(ULSAN NAT INST OF SCIENCE AND TECHNOLOGY) [KR],KR101805867B1,2017-01-25,"A61K47/30 
C08G65/334 
C08G65/34 
C08G65/48","A61K47/30 (KR) 
C08G65/3342 (KR) 
C08G65/34 (KR) 
C08G65/48 (KR)",2017-02-02,2017-02-02,58154282
163,"METHOD FOR REDUCING CHLOROPROPANOLS AND FORMATIVE SUBSTANCE THEREOF, GLYCIDOL FATTY ACID ESTERS, IN GLYCERIDE OILS","INOUE TOMOMI [JP] 
KURIYAMA MASAMITSU [JP] 
KUROSAWA YOKO [JP] 
MORITA AKIRA [JP] 
OMORI HITOMI [JP] 
YOKOMIZO FUTOSHI [JP]","FUJI OIL CO LTD [JP] 
INOUE TOMOMI [JP] 
KURIYAMA MASAMITSU [JP] 
KUROSAWA YOKO [JP] 
MORITA AKIRA [JP] 
OMORI HITOMI [JP] 
YOKOMIZO FUTOSHI [JP]",WO2011040539A1,2009-09-30,"A23D9/02 
C11B3/10","A23D9/02 (KR) 
C11B3/001 (EP,KR) 
C11B3/008 (EP) 
C11B3/04 (EP,KR) 
C11B3/10 (EP,KR) 
C11B3/14 (EP)",2011-04-07,2011-04-07,43826351
164,Process for preparing alkyl glyceryl ether alcohols.,BERKOWITZ SIDNEY,FMC CORP [US],EP0039121A1,1978-07-24,"C07C41/03 
C07C43/13 
C07C305/10 
C07C41/02 
C07C41/03 
C11D1/16","C07C305/00 (EP) 
C07C41/03 (EP) 
C11D1/16 (EP) 
Y10S516/01 (EP) 
Y10S516/03 (EP) 
Y10S516/909 (EP) 
C07C41/03, C07C43/11, INV (EP)       
C07C41/03, C07C43/13, INV (EP)      ",1981-11-04,1980-04-01,27129938
165,PRODUCTION OF UNSATURATED MONOMER OF GLYCIDOL ESTER,"OKITSU KIYOSHI 
OMORI HIDETOSHI",DAICEL CHEM,JPS62114931A,1985-11-13,"B01J31/02 
C07C67/08 
C07C69/54 
C08F220/28 
B01J31/00 
B01J31/02 
C07B61/00 
C07C67/08 
C07C69/54 
C08F20/26 
C08F220/28",,1987-05-26,1987-05-26,17242841
166,Epoxy resin coating composition,FREITER EDWARD R,DOW CHEMICAL CO,US4020034A,1975-08-11,"C08K5/01 
C08K5/02 
C08K5/06 
C08K5/07 
C08G59/28 
C08G59/42 
C09D163/00","C08G59/28 (EP) 
C08G59/4215 (EP) 
C08K5/0016 (EP) 
C08K5/09 (EP) 
C09D163/00 (EP) 
C08K5/0016, C08L63/00, INV (EP)       
C08K5/09, C08L63/00, INV (EP)       
C09D163/00, C08L2666/28, INV (EP)      ",1977-04-26,1977-04-26,24417353
167,"Process for the production of 1-amino-propanediol-(2,3) (II)","KLEEMANN AXEL 
NYGREN ROBERT 
WAGNER RUDOLF",DEGUSSA,US4358615A,1980-04-12,"C07C89/02 
C07C91/10 
C07C213/04 
C07C215/10","C07C213/04 (EP) 
C07C213/04, C07C215/10, INV (EP)      ",1982-11-09,1981-10-22,6099848
168,Preparation method of S-N-glycidol phthalimide,"GAN LIXIN 
WANG XUEJIN 
XU XUBING 
YANG JIALE 
ZHANG CHONG 
ZHOU GUOBIN","ZHEJIANG YONGTAI PHARMACEUTICAL CO LTD 
ZHEJIANG YONGTAI TECH CO LTD",CN108440382A,2018-04-03,"C07D209/48 
C07D405/06","C07D209/48 (CN) 
C07D405/06 (CN) 
C07B2200/07 (CN)",2018-08-24,2018-08-24,63198109
169,Preparation method of L-alpha-glycerophosphoryl choline,YOU JIADONG,KELI BIOTECHNOLOGY XUZHOU CO LTD,CN109265477A,2018-11-13,C07F9/09,C07F9/091 (CN),2019-01-25,2019-01-25,65193619
170,Addition products of substituted phenols and glycidol,,OLIN MATHIESON,GB1022878A,1963-09-09,"B01F17/00 
C07C43/13 
C07C43/23 
C08G59/06 
C08G65/28 
C09D5/02 
C10M169/00 
C11D1/72 
D21C3/02","B01F17/00 (EP) 
C07C43/13 (EP) 
C07C43/23 (EP) 
C08G59/06 (EP) 
C09D5/02 (EP) 
C10M169/00 (EP) 
C11D1/72 (EP) 
D21C3/02 (EP)",1966-03-16,1965-03-09,23189278
171,Process for producing enantiomerically enriched guaifenesin,"CHEN JIAN [US] 
MAZUREK HARRY [US] 
SHUM WILFRED P [US]",ARCO CHEM TECH [US],EP0704420A1,1994-09-29,"C07C41/03 
C07C43/23 
C07C41/03 
C07C43/23","C07C41/03 (EP) 
C07C43/23 (EP) 
C07B2200/07 (EP) 
C07C41/03, C07C43/23, INV (EP)      ",1996-04-03,1996-02-27,23221693
172,ANTIVIRAL AGENT,"KIKUCHI MIKIO 
OBA YOSHIRO 
OCHI HIROTOMO","NIKKEN FOOD KK 
OTSUKA PHARMA CO LTD",JPH0665084A,1992-08-19,"A61K31/335 
A61K35/78 
A61K31/335 
A61K36/18 
A61P31/12",,1994-03-08,1994-03-08,16744136
173,BORATE ESTERS,LOMBARDI JOHN L [US],LOMBARDI JOHN L [US],US2015376336A1,2014-06-26,"C08G73/02 
C08G77/388 
C08L79/02","C08G73/02 (US) 
C08G73/0213 (EP,US) 
C08G73/028 (EP,US) 
C08G77/388 (EP,US) 
C08L79/02 (EP,US) 
C08L79/02, C08L83/08, INV (EP,US)      ",2015-12-31,2015-12-31,54929792
174,Process for the production of a glycidic ester from glycidol or its derivative.,"ANUKU NICOLAS [FR] 
ASDIH MOSTAFA [FR] 
DELMAS MICHEL [FR] 
GASET ANTOINE [FR] 
JAMET JEAN-PAUL [FR] 
MOULOUNGUI ZEPHIRIN [FR] 
PARMENTIER JACQUES [FR] 
RAKOTONDRAZAFY VONY [FR] 
VERMEERSCH GEORGES [FR]",ORGANISATION NATIONALE INTERPR [FR],EP0545477A1,1991-12-04,"C07C67/26 
C07C67/26",C07C67/26 (EP),1993-06-09,1993-06-09,9419735
175,MODIFIED GLYCIDYL CARBAMATE RESINS,"GARRETT JAMES [US] 
HARKAL UMESH [US] 
WEBSTER DEAN C [US]","GARRETT JAMES [US] 
HARKAL UMESH [US] 
NDSU RES FOUNDATION [US] 
WEBSTER DEAN C [US]",US2010319580A1,2007-09-28,"C07C271/00 
C07C273/00 
C07D251/00 
C07D273/04 
C07D303/36 
C08G18/10 
C09D175/04 
C09D5/00 
C08G18/28 
C08G18/78 
C08G59/32 
C08G59/50 
C08G65/332 
C08G65/333 
C09D163/00 
C09D5/08","C08G18/2845 (EP,US) 
C08G18/30 (US) 
C08G18/7831 (EP,US) 
C08G59/3236 (EP,US) 
C08G59/5026 (EP,US) 
C08G65/3322 (EP,US) 
C08G65/33327 (EP,US) 
C09D163/00 (EP,US) 
C09D175/04 (US)",2010-12-23,2009-04-02,40511904
176,Metal-free dithiophosphoric acid derivatives,"BRAUN JUERGEN 
DIMMIG THOMAS 
JAEGER GUENTER 
PETRI THOMAS 
RADIG WOLFRAM 
SCHAEFER VOLKER 
SCHILLING GUENTHER",RHEIN CHEMIE RHEINAU GMBH [DE],GB2273502A,1992-12-16,"C07F9/165 
C10M137/10 
C07F9/165 
C10M137/10 
C10M169/04","C07F9/1651 (EP) 
C10M101/04 (EP) 
C10M137/105 (EP) 
C10M169/04 (EP) 
C10M2207/042 (EP) 
C10M2207/40 (EP) 
C10M2207/401 (EP) 
C10M2207/404 (EP) 
C10M2207/4045 (EP) 
C10M2223/045 (EP) 
C10M2223/047 (EP) 
C10M137/10, C10M129/18, INV (EP)       
C10M169/04, C10M101/04, C10M137/10, INV (EP)      ",1994-06-22,1994-06-22,6475457
177,"Reaction products of 2-propylheptanol with 1-halogen-2,3-epoxypropanes and 1-hydroxy-2,3-epoxypropane","NORENBERG RALF [DE] 
KLUGE MICHAEL [DE] 
WAGNER NORBERT [DE] 
WULFF CHRISTIAN [DE] 
NOERENBERG RALF [DE]",BASF AG [DE],US2005281765A1,2002-10-01,"A61K8/00 
A61K8/39 
A61Q19/10 
C07C43/13 
C07D303/22 
C07D317/36 
C11D1/72 
C11D17/00 
A61K31/357 
C07D317/34","A61K8/39 (EP) 
A61Q19/10 (EP) 
C07C43/13 (EP) 
C07C43/137 (EP) 
C07D303/22 (EP) 
C07D317/36 (EP) 
C11D1/72 (EP) 
C11D17/003 (EP)",2005-12-22,2004-04-15,32010145
178,Preparation of enantiomers of dropropizine.,"ELFERINK VINCENTIUS HENRICUS M 
VAN IERSEL JACOBUS THEODORUS M 
ELFERINK VINCENTIUS HENRICUS M [NL] 
VAN IERSEL JACOBUS THEODORUS M [NL]","STAMICARBON [NL] 
DSM NV [NL]",EP0349066A1,1988-06-25,"C07D295/08 
C07D295/088",C07D295/088 (EP),1990-01-03,1990-01-03,19852523
179,POLYGLYCEROL PRODUCTION,"ESHUIS JOHAN JAN W [NL] 
LAAN JOHANNES ARIE M [NL] 
ROBERTS GLYN [GB]","ESHUIS JOHAN JAN W [NL] 
LAAN JOHANNES ARIE M [NL] 
ROBERTS GLYN [GB] 
UNICHEMA CHEMIE BV [NL]",WO9516723A1,1993-12-14,"B01J29/00 
C07C41/00 
C08G64/30 
C08G65/10 
C08G65/16 
C08G65/34 
B01J21/16 
B01J29/00 
C07B61/00 
C07C41/00 
C07C41/02 
C07C41/03 
C07C41/09 
C07C41/16 
C07C43/13 
C07D319/12 
C07D323/00 
C07D325/00 
C08G64/20 
C08G64/30 
C08G65/10 
C08G65/16 
C08G65/34","B01J21/16 (EP) 
C07C41/02 (EP) 
C07C41/03 (EP) 
C07C41/09 (EP) 
C07C41/16 (EP) 
C08G64/305 (EP) 
C08G65/34 (EP) 
C07C41/02, C07C43/132, INV (EP)       
C07C41/02, C07C43/135, INV (EP)       
C07C41/03, C07C43/132, INV (EP)       
C07C41/03, C07C43/135, INV (EP)       
C07C41/09, C07C43/132, INV (EP)       
C07C41/09, C07C43/135, INV (EP)       
C07C41/16, C07C43/132, INV (EP)       
C07C41/16, C07C43/135, INV (EP)      ",1995-06-22,1995-06-22,8214637
180,Copolymers of glycidol and glycidyl esters,"CORSON FREDERICK P 
SEXTON ARTHUR R 
STEVENS VIOLETE L",DOW CHEMICAL CO,US4077991A,1974-05-02,"C08H3/00 
C09F7/06 
C08L71/02","C08L71/02 (EP) 
C08L71/02, C08L2666/02, INV (EP)      ",1978-03-07,1978-03-07,23850460
181,Process for removing chloropropanols and/or glycidol,"CHRISTOPHER KLATT HAMER [GB] 
DANIEL WITTHAUT [DE] 
EOGHAIN O'HARA [GB] 
GABRIELA FEDOR [DE] 
MARTIN PHILIP ATKINS [GB] 
PETER GOODRICH [GB] 
ULRICH BOES [DE]","EVONIK INDUSTRIES AG [DE] 
GREEN LIZARD TECH LTD [GB]",GB2538758A,2015-05-27,"A23D9/02 
C11B3/02 
C11B3/06 
C11C3/00","A23D9/02 (GB) 
A23D9/04 (EP,US) 
C11B3/006 (EP,US) 
C11B3/02 (GB) 
C11B3/06 (EP,GB,US) 
C11C3/00 (GB) 
Y02E50/13 (EP,US)",2016-11-30,2016-11-30,53540980
182,A PROCESS FOR PREPARATION OF L-ALPHA-GLYCEROPHOSPHORYL CHOLINE,"KANG DOO SUNG [KR] 
KANG PHIL GOO [KR] 
LEE BYUNG GOO [KR] 
MOON SEONG CHEOL [KR] 
OH SEONG SOO [KR] 
SONG EUN SEOB [KR] 
SONG IN WOONG [KR] 
SONG YOON SEOK [KR]","KANG DOO SUNG [KR] 
KANG PHIL GOO [KR] 
KIM HYUN JOO [KR] 
LEE BYUNG GOO [KR] 
MOON SEONG CHEOL [KR] 
OH SEONG SOO [KR] 
SONG EUN SEOB [KR] 
SONG IN WOONG [KR] 
SONG YOON SEOK [KR]",WO2007145476A1,2006-06-14,C07F9/10,"A61K31/6615 (KR) 
C07F9/091 (EP) 
C07F9/113 (KR)",2007-12-21,2007-12-20,38831945
183,Preparation of stretchable wool textiles,"PITTMAN ALLEN G 
WASLEY WILLIAM L",US AGRICULTURE,US3932125A,1974-01-24,"D06M3/02 
D06M13/02 
D06M13/11 
D06M13/144 
D06M13/148 
D06M13/248 
D06M13/256 
D06M15/53 
D06M101/00 
D06M101/02 
D06M101/10 
D06M101/12","D06M13/148 (EP) 
Y10T442/2377 (EP,US) 
Y10T442/2762 (EP,US)",1976-01-13,1975-09-29,27030886
184,"Process for the production of 1-amino-propanediol-2,3","KLEEMANN AXEL 
NYGREN ROBERT 
WAGNER RUDOLF",DEGUSSA,US4360697A,1980-04-12,"C07C89/02 
C07C91/10 
C07C213/00 
C07C213/04 
C07C215/10 
C07C67/00",C07C213/04 (EP),1982-11-23,1981-10-15,6099862
185,Preparation method of anacardol glycidol ether,MING LI,SHANGHAI MEIDONG BIOLOG MATERIAL CO LTD,CN102558102A,2010-12-24,C07D303/23,,2012-07-11,2012-07-11,46404862
186,Method for directly preparing glycidol from glycerol,"CHEN PING 
HOU ZHAOYIN 
PAN SAIYONG 
ZHENG LIPING",UNIV ZHEJIANG,CN103214402A,2013-04-17,"C07C301/02 
C07C303/14",Y02P20/584 (EP),2013-07-24,2013-07-24,48812622
187,OPTICALLY ACTIVE GLYCIDOL DERIVATIVE AND ITS PRODUCTION,"OGASAWARA KUNIRO 
TAKANO SEIICHI",DAICEL CHEM,JP3121656B2,1992-01-17,"C07D303/23 
C07C41/44 
C07C43/23 
C07C69/63 
C12P41/00 
C07D303/22 
C07C41/44 
C07C43/23 
C07C69/63 
C07D303/22 
C07D303/23 
C12P41/00",,1993-08-03,1993-08-03,11639526
188,Photographic material,"HELLING GUENTER DR [DE] 
JONAS FRIEDRICH DR [DE] 
KOLBERG ALFRED [DE] 
KRAFFT WERNER DR [DE] 
PETERS MANFRED DR [DE] 
WEBER BEATE DR [DE]",AGFA GEVAERT AG [DE],EP0737888A2,1995-04-11,"G03C1/76 
G03C1/76 
G03C1/79 
G03C1/85 
G03C7/00","G03C1/7614 (EP) 
G03C1/79 (EP) 
G03C2200/20 (EP)",1996-10-16,1996-10-16,7759469
189,PROCESS TO PREPARE OXAZOLIDINONES,"BARBACHYN MICHAEL R [US] 
FLECK THOMAS J [US] 
HOUSER DAVID J [US] 
MANNINEN PETER R [US] 
PEARLMAN BRUCE A [US] 
PERRAULT WILLIAM R [US] 
TOOPS DANA S [US]",UPJOHN CO [US],SK133698A3,1996-04-11,"C07D263/20 
C07D263/24 
C07D413/04 
C07D413/10 
C07D487/04 
C07D263/20 
C07D263/24 
C07D413/04 
C07D413/10 
C07D487/04 
C07D521/00 
C07D295/00","C07D231/12 (EP) 
C07D233/56 (EP) 
C07D249/08 (EP) 
C07D263/20 (EP) 
C07D263/24 (EP) 
C07D413/04 (EP) 
C07D413/10 (EP) 
C07D487/04 (EP,US)",1999-06-11,1997-10-16,21771765
190,Synthesis method of polyethylene glycol glycidol ether,CHEN LIXIN,HUNAN INST ENGINEERING,CN107474240A,2017-09-01,C08G65/337,C08G65/337 (CN),2017-12-15,2017-12-15,60603463
191,PURIFICATION OF OPTICALLY ACTIVE GLYCIDOL DERIVATIVE,"OGASAWARA KUNIRO 
TAKANO SEIICHI",DAICEL CHEM,JP2001002667A,2000-01-01,"C07D301/32 
C07D303/22 
C07M7/00 
C07D301/32 
C07D303/22",,2001-01-09,2001-01-09,18703471
192,"Sealants and/or adhesive compositions which cure under anaerobic conditions, and a process for the use thereof","JETTER HORST DIPL CHEM DR [DE] 
KRENTZ VIKTOR DIPL CHEM DR [DE]",LECHLER ELRING DICHTUNGSWERKE [DE],DE3340519A1,1983-11-09,"C09J3/00 
C09K3/10 
C09D5/34 
C09J4/00","C09D5/34 (EP) 
C09J4/00 (EP) 
C09J4/00, C08F220/26, INV (EP)      ",1985-05-23,1985-05-23,6213870
193,METHOD FOR PRODUCING GLYCIDYL ESTER,"KON YOSHIHIRO 
SATO KAZUHIKO 
TAMURA MASANORI 
TANAKA SHINJI",AIST,JP2017155001A,2016-03-02,"C07D301/00 
C07D303/16 
C07D405/12 
C07D407/12 
C07D409/12",,2017-09-07,2017-09-07,59808382
194,Reaction device for producing R-glycidol,"CHEN WENFEI 
CHEN WENYANG 
LI KANG",CHANGZHOU HUAREN CHEMICAL CO LTD,CN203184009U,2013-02-26,"B01J19/18 
B01J4/00 
C07D301/26 
C07D303/14",,2013-09-11,2013-09-11,49100909
195,Use of mesoporous basic catalysts modified with basic elements in the etherification of glycerol or glycidol to give mixtures of di- and triglycerol for use in e.g. the food and cosmetic industries and the manufacture of lubricants,"BARRAULT JOEL 
CLACENS JEAN MARC 
POUILLOUX YANNICK",CENTRE NAT RECH SCIENT [FR],FR2810563A1,2000-06-23,"B01J21/02 
B01J21/06 
B01J23/08 
B01J23/10 
B01J35/10 
B01J37/00 
C07C41/09 
C07C43/13 
B01J21/02 
B01J21/06 
B01J23/08 
B01J23/10 
B01J29/00 
B01J35/10 
B01J37/00 
C07C41/09 
C07C43/13","B01J29/005 (EP) 
B01J29/0308 (EP) 
B01J29/041 (EP) 
C07C41/09 (EP) 
C07C43/135 (EP) 
B01J2229/18 (EP) 
B01J2229/34 (EP) 
B01J29/40 (EP) 
Y02P20/588 (EP) 
C07C41/09, C07C43/132, INV (EP)       
C07C41/09, C07C43/135, INV (EP)      ",2001-12-28,2001-12-27,8851611
196,Method for extracting and purifying di[4-(oxidized glycidol)phenyl]methane from milk sample,"CHU MIN 
DING XUEZHI 
GAO YAQIN 
GUO XIAN 
LI WEIHONG 
LIANG CHUNNIAN 
WU XIAOYUN 
XIONG LIN 
YAN PING 
YANG XIAOLING",LANZHOU INST ANIMAL SCIENCE & VETERINARY PHARMACEUTICS CAAS,CN106770787A,2017-01-13,"G01N30/02 
G01N30/06","G01N30/02 (CN) 
G01N30/06 (CN) 
G01N2030/062 (CN)",2017-05-31,2017-05-31,58948093
197,Glycidol ether superfine calcium carbonate powder assistant,"CHEN XIANPENG 
LI JIE 
WU RUNXIU 
YAN JIFANG 
ZHANG YAJING",CHEN XIANPENG,CN104371376A,2014-10-31,"C09C1/02 
C09C3/06 
C09C3/08 
C09C3/10 
C09C3/12",,2015-02-25,2015-02-25,52550585
198,"Cobalt-aluminum oxide catalyst for preparing 1,3-propylene glycol through glycidol hydrogenation and preparation method of cobalt-aluminum oxide catalyst","CAI ZHONGSHUN 
HOU ZHAOYIN 
SUN YANYAN",UNIV ZHEJIANG,CN109806871A,2019-02-27,"B01J23/75 
B01J37/08 
B01J37/18 
C07C29/132 
C07C31/20",,2019-05-28,2019-05-28,66607645
